lineage,clinical_count,clinical_adjusted_pct,clinical_first_detection_date,ww_count_0.01,ww_adjusted_pct_0.01,ww_first_detection_date_0.01,ww_count_0.02,ww_adjusted_pct_0.02,ww_first_detection_date_0.02,ww_count_0.04,ww_adjusted_pct_0.04,ww_first_detection_date_0.04,ww_count_0.08,ww_adjusted_pct_0.08,ww_first_detection_date_0.08,ww_count_0.16,ww_adjusted_pct_0.16,ww_first_detection_date_0.16,ww_count_0.32,ww_adjusted_pct_0.32,ww_first_detection_date_0.32
B.1.201,0,0.0,,1,0.00012044622985806587,2023-12-05,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.206,0,0.0,,1,0.00012608087272787937,2023-12-05,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.222,0,0.0,,1,0.0003134828131802616,2024-09-29,1,0.0003317756190686411,2024-09-29,1,0.00036777508054454313,2024-09-29,0,0.0,,0,0.0,,0,0.0,
B.1.223,0,0.0,,2,0.00026591391226056093,2023-04-18,1,0.00018450309006809491,2023-04-18,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.224,0,0.0,,7,0.00683284655922891,2023-04-30,7,0.007231566777747499,2023-04-30,6,0.007798745947438384,2023-07-02,6,0.009494273270540884,2023-07-02,2,0.0075827148637111095,2024-03-10,1,0.009078099401983303,2024-04-21
B.1.243,0,0.0,,5,0.008305310496771544,2023-04-23,2,0.008531005008295237,2023-04-23,2,0.009456665510441158,2023-04-23,2,0.011512641543826457,2023-04-23,2,0.01634754215808359,2023-04-23,2,0.028872601341216452,2023-04-23
B.1.370,0,0.0,,1,9.795449394212774e-05,2023-05-02,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.377,0,0.0,,2,0.00035973130894011515,2023-04-18,2,0.0003807228744414437,2023-04-18,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.381,0,0.0,,1,7.981389447557167e-05,2024-12-15,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.384,0,0.0,,1,7.886393411072075e-05,2024-11-12,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.390,0,0.0,,1,0.00033828777545465366,2024-09-29,1,0.0003580280366448111,2024-09-29,1,0.0003968760283949859,2024-09-29,0,0.0,,0,0.0,,0,0.0,
B.1.391,0,0.0,,1,0.00028799724471420437,2025-08-04,1,0.0003048028795766032,2025-08-04,1,0.0003378756519275811,2025-08-04,0,0.0,,0,0.0,,0,0.0,
B.1.399,0,0.0,,1,0.0014302998076331903,2023-04-23,1,0.001513762746088369,2023-04-23,1,0.0016780142477943745,2023-04-23,1,0.002042831748565146,2023-04-23,1,0.0029007485384141257,2023-04-23,0,0.0,
B.1.403,0,0.0,,1,9.741995906179424e-05,2024-09-19,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.416,0,0.0,,2,0.0002146844179070435,2023-12-05,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.420,0,0.0,,1,8.716515679687626e-05,2023-04-18,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.426,0,0.0,,2,0.0002855816690695793,2023-04-27,1,0.00022257484466752832,2023-06-22,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.438.3,0,0.0,,1,0.00012989283711244124,2025-09-08,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.466,0,0.0,,1,9.366191850826368e-05,2023-04-18,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
